CASE_STATUS,VISA_CLASS,JOB_TITLE,SOC_CODE,SOC_TITLE,FULL_TIME_POSITION,NEW_EMPLOYMENT,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,WAGE_RATE_OF_PAY_FROM,WAGE_UNIT_OF_PAY,WILLFUL_VIOLATOR,H-1B_DEPENDENT,ANNUAL_WAGE,IS_CA
Certified,H-1B,Research Engineer II,17-2141.00,Mechanical Engineers,Y,0,TOYOTA MATERIAL HANDLING INC.,Greene,NY,84053.0,Year,No,,84053.0,False
Certified,H-1B,Project Engineer II,17-2051.00,Civil Engineers,Y,0,"BENNETT & PLESS, INC.",Potomac Falls,VA,120000.0,Year,No,,120000.0,False
Certified,H-1B,R&D Electrical Engineer II,17-2071.00,Electrical Engineers,Y,1,THE UNIVERSITY OF ARIZONA,Tucson,AZ,92000.0,Year,No,,92000.0,False
Certified,H-1B,Engineer II - Customer Quality,17-2141.00,Mechanical Engineers,Y,0,"ZF GAINESVILLE, LLC",Gainesville,GA,90000.0,Year,No,,90000.0,False
Certified,H-1B,Completions Technical Specialist II,17-2141.00,Mechanical Engineers,Y,0,GULFSTREAM AEROSPACE CORPORATION,Savannah,GA,139758.0,Year,No,,139758.0,False
Certified,H-1B,Engineer II,17-2051.02,Water/Wastewater Engineers,Y,0,"CHA CONSULTING, INC.",Albany,NY,76221.6,Year,No,,76221.6,False
Certified,H-1B,Associate Structural Engineer,17-2051.00,Civil Engineers,N,0,"UBC TECHNOLOGY SERVICES, INC.",Fort Mill,SC,80.0,Hour,No,,166400.0,False
Certified - Withdrawn,H-1B,"Engineer II, Optical ",17-2199.07,Photonics Engineers,Y,1,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",Menlo Park,CA,124200.0,Year,No,,124200.0,True
Certified - Withdrawn,H-1B,"Engineer II, Optical ",17-2199.07,Photonics Engineers,Y,1,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",Redwood City,CA,124200.0,Year,No,,124200.0,True
Certified,H-1B,Optics Scientific Engineering Associate,17-2199.00,"Engineers, All Other",Y,0,LAWRENCE BERKELEY NATIONAL LABORATORY,Berkeley,CA,130008.0,Year,No,,130008.0,True
Certified,H-1B,Graduate Engineer,17-2051.00,Civil Engineers,Y,0,"INFRASTRUCTURE CONSULTING AND ENGINEERING, LLC",Houston,TX,73000.0,Year,No,,73000.0,False
Certified,H-1B,Engineer II,17-2199.05,Mechatronics Engineers,Y,0,"SAMSUNG AUSTIN SEMICONDUCTOR, LLC.",Austin,TX,99611.0,Year,No,,99611.0,False
Certified,H-1B,Electrical Engineer  I,17-2071.00,Electrical Engineers,Y,0,THE ASTRODYNE CORPORATION,Hackettstown,NJ,112488.74,Year,No,,112488.74,False
Certified,H-1B,Associate Engineer - Electrical,17-2071.00,Electrical Engineers,Y,0,BLACK & VEATCH CORPORATION,Burlington,MA,89939.0,Year,No,,89939.0,False
Certified,H-1B,Optics Scientific Engineering Associate,17-2199.00,"Engineers, All Other",Y,1,LAWRENCE BERKELEY NATIONAL LABORATORY,Berkeley,CA,130008.0,Year,No,,130008.0,True
Certified,H-1B,Graduate Engineer,17-2051.02,Water/Wastewater Engineers,Y,0,"INFRASTRUCTURE CONSULTING AND ENGINEERING, LLC",Houston,TX,77000.0,Year,No,,77000.0,False
Certified - Withdrawn,H-1B,ELECTRICAL ENGINEER I,17-2071.00,Electrical Engineers,Y,0,"PROGRESSIVE AE, INC.",GRAND RAPIDS,MI,88109.0,Year,No,,88109.0,False
