EMPLOYER_NAME,total_matching_lcas,ca_worksite_lcas,median_annual_wage,new_employment_lcas,top_job_titles,worksite_states,h1b_dependent
"AMAZON DATA SERVICES, INC",96,5,130850.0,36,Data Center Infrastructure Engineer II; Data Centre Infrastructure Engineer I; Data Center Infrastructure Engineer I,"CA,GA,OH,OR,TX,VA,WA",No
ASM AMERICA INC.,59,2,90771.0,35,Mechanical Engineer II; Snr Mechanical Engineer I; Field Service Engineer I,"AZ,CA,NJ,OR",No
"HDR ENGINEERING, INC.",44,11,85005.0,30,Water/Wastewater Engineer in Training (EIT); Traffic Engineer in Training (EIT); Bridge Engineer in Training (EIT),"AZ,CA,CO,FL,MO,NE,OR,SD,TX,VA,WA",No
"MICHAEL BAKER INTERNATIONAL, INC.",44,4,83019.0,16,Civil Associate I; Civil Engineer I; Civil Engineer II,"AR,CA,CO,CT,FL,IL,IN,LA,MA,MD,MI,MN,NC,NJ,OH,PA,TX,UT,VA,WI",No
"GOKEN AMERICA, LLC",42,0,70283.0,17,Design Engineer II; Design Release Engineer II; Design Engineer I,OH,Yes
BLACK & VEATCH CORPORATION,40,4,71625.0,28,Electrical Engineer 2; Electrical Engineer 1; Structural Engineer 2,"AZ,CA,CO,GA,IL,KS,MA,MI,MN,NJ,NY,OR,TX",No
MILWAUKEE ELECTRIC TOOL CORPORATION,37,0,95000.0,14,Electrical Engineer II; Firmware Engineer I; Design Engineer II,"IL,MS,WI",No
"ARCADIS U.S., INC.",37,6,83678.0,25,Water Engineer 2; Transportation Engineer 1; Transportation Engineer 2,"AR,CA,CO,FL,GA,IL,LA,MA,MI,NC,NY,OH,PA,TN,TX,UT,VA",
"TESLA, INC.",36,13,93960.0,31,Associate Process Engineer; Associate Manufacturing Equipment Engineer; Associate Mechanical Design Engineer,"CA,NV,NY,TX",No
JACOBS ENGINEERING GROUP INC.,35,2,88400.0,20,Traffic EIT; Highway Engineer Professional Associate; Geotechnical Engineer - Entry Level,"CA,CT,FL,GA,IN,MA,NC,NJ,OH,PA,TN,TX,UT,VA,WA",No
STANTEC CONSULTING SERVICES INC.,34,8,88754.0,19,Civil Engineer - EIT; Civil Engineer- EIT; Associate,"AZ,CA,CO,DC,FL,GA,MA,MD,NM,NY,OR,TN,TX,VA",No
"AMAZON DATA SERVICES, INC.",26,0,140000.0,1,DATA CENTER INFRASTRUCTURE ENGINEER II; TECHNICAL OPERATIONS ENGINEER I; Data Center Infrastructure Engineer II,"AZ,IN,OH,PA,TX,VA,WA",No
AMAZON.COM SERVICES LLC,25,9,140000.0,3,Data Center Infrastructure Engineer II; RESEARCH SCIENTIST II; Hardware Development Engineer II,"CA,MA,NJ,TN,TX,WA,WI",No
"SAMSUNG AUSTIN SEMICONDUCTOR, LLC.",24,0,90000.0,6,Engineer II; Engineer I,TX,No
"AMAZON WEB SERVICES, INC.",24,0,130700.0,4,Data Center Infrastructure Engineer II; Data Centre Infrastructure Engineer I; DATA CENTER INFRASTRUCTURE ENGINEER II,"AZ,GA,IL,MS,OH,TX,VA,WA",No
WSP USA BUILDINGS INC.,22,3,84542.0,15,"Associate Consultant, Mechanical Engineer; Associate Consultant, Electrical Engineer; Assistant Consultant, Electrical Engineering","AZ,CA,FL,GA,IL,MA,MO,NY,TX,VA,WI",No
"RUMMEL, KLEPPER & KAHL, LLP",22,0,92560.0,10,Engineer I; Engineer II; Project Engineer I,"CO,FL,MD,NC,PA,SC,TN,VA",No
WSP USA INC.,19,1,81224.0,11,"Associate Consultant, Civil Engineer; Assistant Consultant, Water Resources Engineer; Assistant Consultant, Environmental Engineering","AL,CA,CO,FL,IL,KY,NC,NY,TX,VT,WA,WI",No
"BOWMAN CONSULTING GROUP, LTD.",19,0,75013.0,10,"Civil Engineer I; Engineer I, Transportation; Civil Engineer II","AZ,FL,NJ,OR,PA,RI,TX,VA,WA",
GULFSTREAM AEROSPACE CORPORATION,19,0,92700.0,14,Engineer II; Technical Specialist II; Completions Technical Specialist II,GA,No
TRANSYSTEMS CORPORATION,18,2,84458.0,9,Civil Engineer 1; Structural Engineer 1; Civil Engineer 2,"CA,CT,FL,KS,MA,MD,MO,TX",
"WALTER P. MOORE & ASSOCIATES, INC.",17,3,86700.0,14,Graduate Engineer II - Structures; Graduate Engineer I - Structures; Graduate Engineer II - Diagnostics,"CA,DC,FL,IL,NV,NY,TX",No
UNIVERSITY OF COLORADO,17,0,85000.0,6,"Research Associate (Environmental Scientist); Research Associate (Photonics Engineer); Research Associate, Mechanical Engineering",CO,No
FLATIRON CONSTRUCTION CORP.,16,6,107222.0,9,Project Engineer II; Field Engineer II; Cost Engineer II,"CA,CO,HI,VA,WA",No
"AECOM TECHNICAL SERVICES, INC.",16,1,80378.0,13,Civil Engineer I; Structural Engineer I; BIM Specialist II,"AL,CA,CO,ID,IL,LA,NY,PA,TX,VA,WA",
MOTT MACDONALD GROUP INC.,16,3,82826.0,16,Engineer II - Water/Wastewater; Engineer II - Tunnels; ENGINEER II - STRUCTURAL,"CA,CO,KY,MA,NC,NJ,NY,OR,PA,TX",
IMEG CONSULTANTS CORP.,15,9,104000.0,3,Project Engineer I; Civil Engineering Graduate- Designer 2; Electrical Engineering Graduate - Designer 2,"CA,MT,NY,TX",No
"SCHWEITZER ENGINEERING LABORATORIES, INC.",15,1,89250.0,14,Associate Application Engineer--Automation; Associate Power Engineer; Associate Application Engineer--Protection,"CA,GA,ID,NH,OH,PA,WA",
"RIVIAN AUTOMOTIVE, LLC",15,12,111384.0,5,Mechanical Engineer II; Virtual Engineer II; Battery Cell Test Engineer II,"CA,IL,MI",No
"BOSTON DYNAMICS AI INSTITUTE, LLC",14,0,183700.0,14,Research Scientist II; Applied Scientist II,MA,
"MITSUBISHI ELECTRIC POWER PRODUCTS, INC.",14,2,98630.0,4,Systems Studies Engineer II; Systems Studies Engineer I; Integration Engineer I,"AZ,CA,KS,MN,PA,TX,VA",No
CAPGEMINI AMERICA INC,14,1,110000.0,1,Mechanical Engineer 2; Electrical Engineer 2,"CA,KS,MI,NC,WI",Yes
"MODJESKI AND MASTERS, INC.",14,0,82500.0,11,Engineer in Training II; Engineer in Training I; Engineer in Training II - Structures,"CO,DC,IL,LA,MI,NC,PA,TX,WV",
ATKINSREALIS USA INC.,14,0,84432.0,9,Engineer II; Engineer I,"AZ,FL,GA,NC,NJ,TX",
ZIMMER GUNSUL FRASCA ARCHITECTS LLP,13,1,79181.0,6,Architectural Designer (Architectural Intern); Intern 2 (Architectural Intern); Architectural Designer 3 (Architectural Intern),"CA,CO,DC,NY,OR,WA",
"CHA CONSULTING, INC.",13,0,78000.0,8,Engineer I; Engineer II,"CT,FL,GA,IN,NY,OH,VA",
"JACOBS ENGINEERING GROUP, INC.",12,0,90158.0,7,Water Resources EIT-Transportation Drainage; Highway Engineering Professional Entry Level; Geotechnical Engineering Professional Associate,"GA,ID,NC,PA,TX,VA,WA",
CDM SMITH INC.,12,0,81827.0,12,Transportation Engineer 2; Environmental Engineer 2; Construction Specialist 2,"NH,NM,NY,TN,TX,VA",
"TRINITY CONSULTANTS, INC.",10,1,82820.0,7,"Associate Environmental Consultant; Associate Environmental Consultant, Acoustics; Associate Environmental Consultant ","AZ,CA,CO,IL,LA,MD,OH,TX",
"SKIDMORE, OWINGS & MERRILL LLP",10,4,65033.0,11,Junior Designer; Junior Structural Designer; Architectural Associate (Project),"CA,IL,NY",No
TEXAS A&M TRANSPORTATION INSTITUTE,10,0,90154.0,3,TTI Assistant Research Scientist; Assistant Research Scientist; TTI Assistant Research Scientist ,TX,No
"NORTH AMERICAN LIGHTING, INC.",10,0,98400.0,5,Design Engineer II; Electronics Engineer II; Optical Engineer II,"IL,MI",
PARSONS TRANSPORTATION GROUP INC.,10,0,85843.0,7,Associate Engineer; Engineer II; Engineer II (Electrical Inspector - Bridge),"CT,FL,GA,NY,OR,TX,WA",No
DETROIT DIESEL CORPORATION,9,0,107000.0,4,Mechanical Product Design Engineer II; Mechanical Product Validation Engineer II; Product Regulatory Affairs Engineer II,MI,
MESABI METALLICS COMPANY LLC,9,0,72000.0,9,Mechanical Engineer I; Mechanical Engineer II; Civil Engineer I (Construction),MN,
"EVS, INC.",9,0,71760.0,5,Engineering Associate I - PV & BESS; Engineering Associate I; SUBSTATION ENGINEER II,"MN,OK",No
"ARDURRA GROUP, INC.",9,0,80000.0,7,Engineer I; Civil Engineer II; Water/Wastewater Engineer I,"AZ,FL,NM,TX",No
"ANSYS, INC.",9,2,89419.0,5,R&D Engineer II; Application Engineer II SCBU; R&D Verification Engineer II,"CA,MD,NH,PA,TX,UT",
MOFFATT & NICHOL,9,5,74422.0,9,Structural Associate II; Civil Associate II; Coastal Associate II,"CA,GA,LA,PA,VA",
"MOLEX, LLC",9,0,90000.0,6,Design Engineer II - KBGFJG270594-2; Design Engineer II - KBGFJG344613-1; Design Engineer I - KBGFJG335118-1,MI,No
